mean 100 episode reward,steps,% time spent exploring,episodes
-1.4,231092,88,63100
-1.5,231473,88,63200
-1.3,231861,88,63300
-1.1,232256,88,63400
-1.3,232623,88,63500
-1.1,232996,88,63600
-1.4,233375,88,63700
-1.4,233745,88,63800
-1.3,234107,88,63900
-1.5,234524,88,64000
-1.3,234883,88,64100
-1.6,235274,88,64200
-1.6,235658,88,64300
-1.5,236029,88,64400
-1.5,236416,88,64500
-1.4,236809,88,64600
-1.5,237206,88,64700
-1.8,237568,88,64800
-1.6,237970,88,64900
-1.4,238358,88,65000
-1.7,238761,88,65100
-1.6,239162,88,65200
-1.8,239591,88,65300
-1.7,240062,88,65400
-1.8,240493,88,65500
-1.6,240878,88,65600
-1.6,241263,88,65700
-1.6,241645,88,65800
-1.6,242021,88,65900
-1.7,242405,88,66000
-1.9,242815,88,66100
-1.4,243172,88,66200
-1.4,243555,88,66300
-1.4,243961,88,66400
-1.5,244360,88,66500
-1.1,244688,88,66600
-1.3,245081,87,66700
-1.2,245468,87,66800
-1.2,245833,87,66900
-1.3,246204,87,67000
-1.4,246596,87,67100
-1.4,246960,87,67200
-1.2,247379,87,67300
-1.3,247760,87,67400
-1.2,248148,87,67500
-1.4,248555,87,67600
-1.3,248932,87,67700
-1.3,249325,87,67800
-1.3,249726,87,67900
-1.1,250104,87,68000
-1.4,250500,87,68100
-1.1,250863,87,68200
-1.4,251251,87,68300
-1.2,251597,87,68400
-1.3,251983,87,68500
-1.0,252349,87,68600
-1.1,252725,87,68700
-1.4,253130,87,68800
-1.2,253529,87,68900
-1.4,253918,87,69000
-1.3,254331,87,69100
-1.3,254722,87,69200
-1.3,255079,87,69300
-1.2,255449,87,69400
-1.3,255844,87,69500
-1.4,256265,87,69600
-1.3,256674,87,69700
-1.3,257082,87,69800
-1.4,257513,87,69900
-1.2,257893,87,70000
-1.2,258300,87,70100
-1.3,258677,87,70200
-1.1,259056,87,70300
-1.5,259442,87,70400
-1.4,259817,87,70500
-1.4,260231,87,70600
-1.2,260606,87,70700
-1.5,261009,87,70800
-1.1,261391,87,70900
-1.2,261774,87,71000
-1.3,262158,87,71100
-1.4,262550,87,71200
-1.4,262948,87,71300
-1.4,263363,87,71400
-1.2,263748,87,71500
-1.3,264109,87,71600
-1.3,264489,87,71700
-1.4,264864,87,71800
-1.4,265237,87,71900
-1.4,265584,86,72000
-1.4,265972,86,72100
-1.4,266380,86,72200
-1.2,266792,86,72300
-1.3,267150,86,72400
-1.5,267546,86,72500
-1.3,267953,86,72600
-1.4,268350,86,72700
-1.3,268714,86,72800
-1.2,269050,86,72900
-1.2,269409,86,73000
-1.5,269838,86,73100
-1.3,270239,86,73200
-1.3,270688,86,73300
-1.3,271080,86,73400
-1.3,271469,86,73500
-1.3,271837,86,73600
-1.3,272244,86,73700
-1.2,272624,86,73800
-1.3,273039,86,73900
-1.2,273467,86,74000
-1.3,273852,86,74100
-1.3,274261,86,74200
-1.2,274682,86,74300
-1.2,275043,86,74400
-1.2,275422,86,74500
-1.4,275788,86,74600
-1.5,276210,86,74700
-1.4,276629,86,74800
-1.2,277055,86,74900
-1.5,277512,86,75000
-1.2,277902,86,75100
-1.3,278318,86,75200
-1.3,278696,86,75300
-1.2,279084,86,75400
-1.2,279443,86,75500
-1.4,279876,86,75600
-1.4,280328,86,75700
-1.4,280747,86,75800
-1.5,281153,86,75900
-1.4,281548,86,76000
-1.3,281920,86,76100
-1.4,282303,86,76200
-1.6,282699,86,76300
-1.2,283048,86,76400
-1.4,283479,86,76500
-1.3,283869,86,76600
-1.4,284290,86,76700
-1.2,284653,86,76800
-1.3,285047,86,76900
-1.4,285486,86,77000
-1.4,285893,85,77100
-1.2,286251,85,77200
-1.4,286633,85,77300
-1.4,287040,85,77400
-1.3,287450,85,77500
-1.4,287872,85,77600
-1.3,288285,85,77700
-1.3,288678,85,77800
-1.1,289076,85,77900
-1.1,289492,85,78000
-1.4,289906,85,78100
-1.4,290323,85,78200
-1.4,290737,85,78300
-0.9,291087,85,78400
-1.3,291475,85,78500
-1.2,291866,85,78600
-1.1,292249,85,78700
-1.3,292635,85,78800
-1.2,293002,85,78900
-1.5,293451,85,79000
-1.4,293814,85,79100
-1.2,294194,85,79200
-1.4,294615,85,79300
-1.1,294970,85,79400
-1.3,295366,85,79500
-1.3,295751,85,79600
-1.2,296171,85,79700
-1.2,296578,85,79800
-1.3,296977,85,79900
-1.3,297372,85,80000
-1.2,297767,85,80100
-1.4,298228,85,80200
-1.3,298612,85,80300
-1.2,298981,85,80400
-1.2,299379,85,80500
-1.1,299768,85,80600
-1.2,300130,85,80700
-1.1,300537,85,80800
-1.5,300895,85,80900
-1.6,301305,85,81000
-1.6,301731,85,81100
-1.7,302172,85,81200
-1.8,302647,85,81300
-1.6,303048,85,81400
-1.5,303429,85,81500
-1.8,303856,85,81600
-1.7,304247,85,81700
-1.6,304594,85,81800
-1.7,304983,85,81900
-1.5,305376,85,82000
-1.8,305817,85,82100
-1.9,306230,84,82200
-1.3,306624,84,82300
-1.5,307011,84,82400
-1.5,307413,84,82500
-1.2,307785,84,82600
-1.2,308182,84,82700
-1.3,308549,84,82800
-1.3,308978,84,82900
-1.3,309445,84,83000
-1.2,309830,84,83100
-1.0,310233,84,83200
-1.6,310672,84,83300
-1.4,311085,84,83400
-1.3,311486,84,83500
-1.1,311892,84,83600
-1.2,312313,84,83700
-1.3,312745,84,83800
-1.3,313174,84,83900
-1.3,313608,84,84000
-1.2,314002,84,84100
-1.2,314368,84,84200
-1.3,314762,84,84300
-1.3,315176,84,84400
-1.4,315610,84,84500
-1.4,316010,84,84600
-1.4,316420,84,84700
-1.2,316787,84,84800
-1.2,317204,84,84900
-1.1,317572,84,85000
-1.5,318018,84,85100
-1.5,318437,84,85200
-1.3,318863,84,85300
-1.4,319271,84,85400
-1.3,319645,84,85500
-1.1,320003,84,85600
-1.0,320344,84,85700
-1.2,320734,84,85800
-1.2,321137,84,85900
-1.3,321533,84,86000
-1.1,321907,84,86100
-1.2,322315,84,86200
-1.2,322700,84,86300
-1.2,323080,84,86400
-1.4,323507,84,86500
-1.2,323902,84,86600
-1.4,324332,84,86700
-1.3,324743,84,86800
-1.3,325157,84,86900
-1.3,325549,84,87000
-1.2,325955,84,87100
-1.3,326360,84,87200
-1.4,326813,83,87300
-1.0,327193,83,87400
-1.2,327552,83,87500
-1.2,327952,83,87600
-1.0,328324,83,87700
-1.4,328717,83,87800
-1.2,329117,83,87900
-1.3,329550,83,88000
-1.2,329953,83,88100
-1.0,330358,83,88200
-1.2,330751,83,88300
-1.1,331126,83,88400
-1.1,331486,83,88500
-1.4,331912,83,88600
-1.3,332352,83,88700
-1.2,332763,83,88800
-1.3,333128,83,88900
-1.1,333538,83,89000
-1.1,333958,83,89100
-1.4,334360,83,89200
